SMILES,He,H2,N2,O2,CO2,CH4,URL,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc(C(c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,30,0.43,2.6,11,0.31,http://doi.org/10.1039/c3ta10261k,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc(C(c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,34,0.54,3.1,13,0.39,http://doi.org/10.1039/c3ta10261k,
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,,111,2.7,13.5,50,1.67,http://doi.org/10.1039/c3ta10261k,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,41,0.42,2.89,12.3,0.136,http://dx.doi.org/10.1016/j.memsci.2014.07.024,
*c1ccc(Oc2ccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)cc2)cc1,,56,0.82,4.9,7.1,0.42,http://dx.doi.org/10.1016/j.memsci.2014.07.024,
*c1cccc(C(c2cccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,592,32,121,446,20,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,,95,1.62,8.9,35.3,0.77,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1cccc(C(c2cccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,290,8.7,39,160,5.6,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1cccc(C(c2cccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,530,25.3,100,410,18.2,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,37.8,0.56,3.18,12,0.313,http://dx.doi.org/10.1016/j.memsci.2014.07.024,
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,,290,8.7,39,160,5.6,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,,530,25.3,100,410,18.2,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,,92,1.62,8.9,35.3,0.77,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*CN1CN(*)Cc2cc3c(cc21)C1(CC(C)(C)c2cc(*)c(*)cc21)CC3(C)C,,1300,92,370,2300,125,https://www.sciencedirect.com/science/article/abs/pii/S0376738805000645,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1cc2nc4cc5c(cc4nc2cc1O3)C(C)(C)CC51CC(C)(C)c2cc3nc4cc(*)c(*)cc4nc3cc21,,,42,190,1100,62,https://www.sciencedirect.com/science/article/abs/pii/S0376738805000645,
*Oc1cc2c(cc1O*)C1(c3ccccc3-2)c2ccccc2-c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,,6320,786,2640,13900,1100,https://doi.org/10.1002/adma.201202393,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,,5240,554,1950,10400,754,https://doi.org/10.1002/adma.201202393,
*CN1CN(*)Cc2cc3c(cc21)C1(CC(C)(C)c2cc(*)c(*)cc21)CC3(C)C,,,687,1521,,,https://doi.org/10.1002/adma.201202393,
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,,7760,525,2150,7140,699,https://www.science.org/doi/10.1126/science.1228032,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,,2200,232,720,2900,450,https://www.science.org/doi/10.1126/science.1228032,
*Oc1cc2c(cc1O*)[C@@H]1c3cc4c(cc3C2c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,,4280,216,1170,4150,283,https://pubs.acs.org/doi/pdf/10.1021/acsmacrolett.5b00439,
